transcript_id	protein_name
mrna-4494	Serine protease 30 (EC 3.4.21.-) (Distal intestinal serine protease) (Transmembrane serine protease 1) (TMSP-1) (Transmembrane serine protease 8)
mrna-4493	Transmembrane protease serine 3 (EC 3.4.21.-)
mrna-14062	Homeobox protein BarH-like 1 (BarH-class homeodomain transcription factor 4)
mrna-2640	PIN2/TERF1-interacting telomerase inhibitor 1 (Pin2-interacting protein X1)
mrna-2665	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMPdecase)]
mrna-8808	Harmonin (Antigen NY-CO-38/NY-CO-37) (Autoimmune enteropathy-related antigen AIE-75) (Protein PDZ-73) (Renal carcinoma antigen NY-REN-3) (Usher syndrome type-1C protein)
mrna-12473	Solute carrier organic anion transporter family member 4A1 (OATP4A1) (Colon organic anion transporter) (Organic anion transporter polypeptide-related protein 1) (OATP-RP1) (OATPRP1) (POAT) (Organic anion-transporting polypeptide E) (OATP-E) (Sodium-independent organic anion transporter E) (Solute carrier family 21 member 12)
mrna-6423	Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase)
mrna-6488	H2.0-like homeobox protein (Homeobox protein HLX1)
mrna-4316	E3 ubiquitin-protein ligase RNF8 (EC 2.3.2.27) (ActA-interacting protein 37) (AIP37) (LaXp180) (RING finger protein 8) (RING-type E3 ubiquitin transferase RNF8)
mrna-1317	Matrix metalloproteinase-21 (MMP-21) (EC 3.4.24.-)
mrna-5818	Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]
mrna-5345	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)
mrna-10414	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)
mrna-13827	Collagen alpha-1(XII) chain (Fibrochimerin)
mrna-17788	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)
mrna-7235	Late histone H2B.2.1
mrna-16834	Collagen alpha-1(XII) chain
mrna-16835	Collagen alpha-1(XII) chain (Fibrochimerin)
mrna-14197	Cartilage matrix protein (Matrilin-1)
mrna-13078	Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (Solute carrier family 5 member 9)
mrna-7663	Large subunit GTPase 1 homolog (EC 3.6.1.-)
mrna-8988	Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular excitatory amino acid transporter) (VEAT)
mrna-918	Extracellular serine/threonine protein CG31145 (EC 2.7.11.1) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)
mrna-11829	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)
mrna-15388	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]
mrna-8749	Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)
mrna-5804	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)
mrna-7568	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25)
mrna-16052	Histone H4
mrna-16046	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]
mrna-6031	Neutral protease (EC 3.4.24.25) (Aeromonolysin) (Vibriolysin)
mrna-3682	TBC1 domain family member 7
mrna-7300	Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)
mrna-16282	Protein PIF [Cleaved into: Protein Pif97; Protein Pif80 (Aragonite-binding protein)]
mrna-11774	Probable ribonuclease ZC3H12C (EC 3.1.-.-) (Zinc finger CCCH domain-containing protein 12C)
mrna-2138	Ecdysone-induced protein 74EF isoform A (ETS-related protein E74A)
mrna-2136	Spindle and centriole-associated protein 1 (Coiled-coil domain-containing protein 52)
mrna-1208	Cholecystokinin receptor (CCK-XLR)
mrna-14714	Tubulin beta-2 chain (Beta-tubulin class-II)
mrna-10071	Stromelysin-1 (SL-1) (EC 3.4.24.17) (EMS-2) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)
mrna-2448	Cartilage matrix protein (Matrilin-1)
mrna-15802	Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor)
mrna-3520	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)
mrna-3522	TATA box-binding protein-associated factor RNA polymerase I subunit B (RNA polymerase I-specific TBP-associated factor 63 kDa) (TAFI63) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B)
mrna-24	Actin-1 (EC 3.6.4.-)
mrna-10174	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)
mrna-17497	Fibrinogen-like protein 1
mrna-8583	N-alpha-acetyltransferase 60 (EC 2.3.1.259) (Histone acetyltransferase type B protein 4) (HAT4) (EC 2.3.1.48) (N-acetyltransferase 15) (N-alpha-acetyltransferase F) (NatF)
mrna-5252	DmX-like protein 1 (X-like 1 protein)
mrna-13120	Chitin deacetylase 8 (BmCDA8) (EC 3.5.1.41) (Chitin deacetylase 17)
mrna-7949	BLOC-1-related complex subunit 8
mrna-7898	Chitin deacetylase 1 (BmCDA1) (EC 3.5.1.41)
mrna-11178	Cadherin EGF LAG seven-pass G-type receptor 2 (Flamingo homolog)
mrna-6896	Rho-related GTP-binding protein RhoE (Protein MemB) (Rho family GTPase 3) (Rho-related GTP-binding protein Rho8) (Rnd3)
mrna-5076	WSCD family member AAEL009094
mrna-3506	LIM/homeobox protein Lhx1 (LIM homeobox protein 1) (Homeobox protein Lim-1)
mrna-209	DNA repair protein complementing XP-C cells homolog (Xeroderma pigmentosum group C-complementing protein homolog) (p125)
mrna-2958	GPN-loop GTPase 1 (EC 3.6.5.-) (MBD2-interacting protein) (MBDin) (XPA-binding protein 1)
mrna-4761	STAGA complex 65 subunit gamma (Adenocarcinoma antigen ART1) (SPTF-associated factor 65 gamma) (STAF65gamma) (Suppressor of Ty 7-like)
mrna-12072	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1 homolog) (LKB1)
mrna-3581	Four-jointed box protein 1 (Four-jointed protein homolog)
mrna-2059	Soma ferritin (EC 1.16.3.1)
mrna-3791	Soma ferritin (EC 1.16.3.1)
mrna-7052	OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne)
