PAC4GC_38658443	EB27023.1	mrna-11262	g6656.t1	mrna-7713	mrna-754
PAC4GC_38661730	EB26940.5	mrna-1926	g3648.t1	mrna-12064	mrna-596
PAC4GC_38659107	EB28217.1	mrna-1927	g3643.t1	mrna-12065	mrna-595
PAC4GC_38660158	EB28057.1	mrna-1928	g5402.t1	mrna-3484	mrna-627
PAC4GC_38659623	EB27436.1	mrna-1929	g5405.t1	mrna-3483	mrna-626
PAC4GC_38659063	EB27019.3	mrna-1930	g5406.t1	mrna-3482	mrna-625
PAC4GC_38661436	EB27524.4	mrna-1931	g5414.t1	mrna-3481	mrna-624
PAC4GC_38658656	EB27768.1	mrna-1907	g5418.t1	mrna-3479	mrna-622
PAC4GC_38659171	EB28041.1	mrna-1906	g5420.t1	mrna-3478	mrna-621
PAC4GC_38659805	EB27161.1	mrna-1905	g5425.t1	mrna-3477	mrna-620
PAC4GC_38659540	EB28165.1	mrna-1903	g5430.t1	mrna-3475	mrna-618
PAC4GC_38661592	EB27263.1	mrna-1866	g5512.t1	mrna-3470	mrna-611
PAC4GC_38659999	EB27743.1	mrna-1865	g5556.t1	mrna-3469	mrna-610
PAC4GC_38657963	EB27459.1	mrna-1863	g5563.t1	mrna-3466	mrna-808
PAC4GC_38658110	EB28255.1	mrna-1861	g5567.t1	mrna-3464	mrna-809
PAC4GC_38660776	EB27894.3	mrna-1860	g5569.t1	mrna-3463	mrna-810
PAC4GC_38658364	EB27433.1	mrna-1859	g5572.t1	mrna-3462	mrna-811
PAC4GC_38660279	EB27315.1	mrna-1857	g5574.t1	mrna-3460	mrna-813
PAC4GC_38659471	EB28150.1	mrna-1855	g5577.t2	mrna-3459	mrna-815
PAC4GC_38658033	EB27502.1	mrna-1947	g5613.t1	mrna-8022	mrna-842
PAC4GC_38661797	EB27381.2	mrna-1898	g3636.t1	mrna-17923	mrna-543
PAC4GC_38658679	EB28240.1	mrna-11193	g4696.t1	mrna-947	mrna-683
PAC4GC_38658275	EB28186.1	mrna-1817	g5362.t1	transcript-8720	mrna-635
PAC4GC_38658513	EB28028.1	mrna-1815	g5374.t1	mrna-3493	mrna-633
PAC4GC_38661240	EB27440.1	mrna-1813	g5384.t1	mrna-3488	mrna-631
PAC4GC_38660643	EB28148.1	mrna-1812	g5387.t1	mrna-3487	mrna-630
PAC4GC_38658817	EB27169.1	mrna-1811	g5389.t1	mrna-3485	mrna-628
PAC4GC_38661443	EB28055.1	transcript-803	g5400.t1	transcript-8698	transcript-357
PAC4GC_38660074	EB27737.1	mrna-11194	g4686.t1	mrna-949	mrna-682
PAC4GC_38659903	EB27422.1	mrna-11195	g4685.t1	mrna-950	mrna-681
PAC4GC_38658570	EB28177.1	mrna-11196	g4683.t1	mrna-951	mrna-680
PAC4GC_38660592	EB27871.1	mrna-1879	g5166.t1	mrna-15501	mrna-578
PAC4GC_38661544	EB27607.1	mrna-1696	g5088.t1	mrna-3591	mrna-727
PAC4GC_38660868	EB28121.1	mrna-1873	g5278.t1	mrna-3581	mrna-572
PAC4GC_38659736	EB27734.1	mrna-1874	g5199.t1	mrna-15496	mrna-573
PAC4GC_38661575	EB27303.1	mrna-1875	g5191.t1	mrna-15497	mrna-574
PAC4GC_38661722	EB28053.1	mrna-1877	g5174.t1	mrna-15499	mrna-576
PAC4GC_38658138	EB28259.1	mrna-1919	g5078.t1	mrna-3594	mrna-14326
PAC4GC_38658688	EB27815.6	mrna-1836	g5038.t1	mrna-3039	mrna-721
PAC4GC_38659894	EB27324.1	mrna-1835	g5037.t1	mrna-3040	mrna-14327
PAC4GC_38660274	EB27428.1	mrna-1833	g5033.t1	mrna-3043	mrna-720
PAC4GC_38658174	EB27463.1	mrna-1716	g5030.t1	mrna-3046	mrna-718
PAC4GC_38661287	EB27609.1	mrna-1715	g5028.t1	mrna-3045	mrna-717
PAC4GC_38658142	EB27656.1	mrna-1795	g4526.t1	mrna-12072	mrna-605
PAC4GC_38660881	EB28091.1	mrna-1796	g4527.t1	mrna-12073	mrna-606
PAC4GC_38660300	EB28126.1	mrna-1797	g4528.t1	mrna-12074	mrna-607
PAC4GC_38658246	EB27979.1	mrna-1800	g4574.t1	mrna-977	mrna-539
PAC4GC_38660200	EB27128.1	mrna-1801	g4575.t1	mrna-976	mrna-538
PAC4GC_38660757	EB27184.1	mrna-1802	g4578.t1	mrna-975	mrna-537
PAC4GC_38659278	EB27245.1	mrna-1804	g4591.t1	mrna-973	mrna-535
PAC4GC_38660901	EB27001.1	mrna-1807	g4598.t1	mrna-969	mrna-532
PAC4GC_38660296	EB27360.1	mrna-1808	g4601.t1	mrna-970	mrna-531
PAC4GC_38658808	EB27288.1	mrna-11724	g4602.t1	mrna-968	mrna-530
PAC4GC_38661030	EB27304.2	mrna-11216	g4381.t1	mrna-9339	mrna-888
PAC4GC_38658165	EB27460.1	mrna-11270	g3600.t1	mrna-14160	mrna-659
PAC4GC_38657928	EB28152.1	mrna-11276	g118960.t1	mrna-260	mrna-656
PAC4GC_38661698	EB27674.1	mrna-11277	g3584.t1	mrna-259	mrna-655
PAC4GC_38658779	EB27873.1	mrna-11282	g3402.t1	mrna-7995	mrna-548
PAC4GC_38661474	EB28092.8	mrna-11280	g3387.t1	mrna-7997	mrna-547
PAC4GC_38660151	EB28194.2	mrna-1946	g3385.t1	mrna-7998	mrna-550
PAC4GC_38659315	EB27550.1	mrna-1945	g3383.t1	mrna-8000	mrna-551
PAC4GC_38657901	EB26935.1	mrna-1944	g3376.t1	mrna-7757	mrna-553
PAC4GC_38658922	EB27048.1	mrna-1943	g3375.t1	mrna-7756	mrna-662
PAC4GC_38660925	EB27851.1	mrna-1940	g3368.t1	mrna-7753	mrna-665
PAC4GC_38659775	EB26926.1	mrna-1938	g3361.t1	mrna-7743	mrna-527
PAC4GC_38659224	EB27056.4	mrna-1937	g3355.t1	mrna-7745	mrna-526
PAC4GC_38661416	EB28242.1	mrna-1936	g3351.t1	mrna-7749	mrna-525
PAC4GC_38658628	EB28043.1	mrna-1935	g5935.t1	mrna-7750	mrna-524
PAC4GC_38659431	EB27104.3	mrna-1895	g5945.t1	mrna-7751	mrna-523
PAC4GC_38660341	EB27109.1	mrna-1894	g6008.t1	mrna-7741	mrna-522
PAC4GC_38658502	EB27684.1	mrna-1829	g6089.t1	mrna-7734	mrna-519
PAC4GC_38661424	EB27096.1	mrna-1830	g6095.t1	mrna-7733	mrna-518
PAC4GC_38659710	EB28130.1	mrna-1831	g6098.t1	mrna-7732	mrna-517
PAC4GC_38659396	EB27026.1	mrna-1832	g6099.t1	mrna-7731	mrna-515
PAC4GC_38658733	EB27444.1	mrna-1822	g6235.t1	mrna-7719	mrna-643
PAC4GC_38660251	EB28061.3	mrna-1700	g4796.t1	mrna-15520	mrna-698
PAC4GC_38658664	EB27251.1	mrna-1701	g4819.t1	mrna-15519	mrna-699
PAC4GC_38658227	EB28101.2	mrna-1702	g4820.t1	mrna-15518	mrna-700
PAC4GC_38660423	EB27368.1	mrna-1703	g4826.t1	mrna-15517	mrna-701
PAC4GC_38660573	EB27179.1	mrna-1790	g4832.t1	mrna-15509	mrna-707
PAC4GC_38659650	EB27942.1	mrna-1788	g4891.t1	mrna-7986	mrna-710
PAC4GC_38659491	EB27338.4	mrna-1787	g4892.t1	mrna-7985	mrna-711
PAC4GC_38659702	EB27605.1	mrna-1791	g4895.t1	mrna-7983	mrna-713
PAC4GC_38657879	EB27188.1	mrna-11245	g6377.t1	mrna-5990	mrna-797
PAC4GC_38659290	EB27701.1	mrna-11260	g6564.t1	mrna-16804	mrna-745
PAC4GC_38657871	EB27571.1	mrna-11224	g4360.t1	mrna-9330	mrna-898
PAC4GC_38658651	EB27675.1	mrna-11221	g4371.t1	mrna-9334	mrna-893
PAC4GC_38661460	EB27707.1	mrna-11220	g4374.t1	mrna-9335	mrna-892
PAC4GC_38658068	EB27341.2	mrna-11218	g4375.t1	mrna-9337	mrna-890
PAC4GC_38659147	EB27948.1	mrna-1881	g5148.t1	mrna-3612	mrna-581
PAC4GC_38660924	EB27872.1	mrna-1891	g5325.t1	mrna-3498	mrna-639
PAC4GC_38658846	EB27731.2	mrna-1819	g5353.t1	mrna-3496	mrna-637
PAC4GC_38659420	EB27552.1	mrna-1818	g5354.t1	mrna-3495	mrna-636
PAC4GC_38639113	EB40783.1	mrna-11335	g11724.t1	mrna-5796	mrna-11
PAC4GC_38639743	EB40491.1	mrna-11665	g13280.t1	mrna-401	mrna-26
PAC4GC_38640815	EB40422.1	mrna-4256	g12184.t1	mrna-3006	mrna-377
PAC4GC_38637438	EB40857.1	mrna-4259	g12189.t1	mrna-3004	mrna-374
PAC4GC_38639479	EB40483.1	mrna-4261	g12192.t1	mrna-3002	mrna-373
PAC4GC_38639020	EB40191.1	mrna-4262	g12193.t1	mrna-3001	mrna-372
PAC4GC_38638934	EB39998.1	mrna-4274	g12196.t1	mrna-2999	mrna-368
PAC4GC_38637271	EB41118.1	mrna-9499	g10499.t1	mrna-2374	mrna-9756
PAC4GC_38637844	EB40008.1	mrna-3932	g10294.t1	mrna-4699	mrna-403
PAC4GC_38639470	EB40839.1	mrna-4148	g10333.t1	mrna-4712	mrna-409
PAC4GC_38637389	EB39838.1	mrna-11560	g10342.t1	mrna-4714	mrna-407
PAC4GC_38638729	EB40947.1	mrna-11559	g10348.t1	mrna-4715	mrna-406
PAC4GC_38639309	EB40681.1	mrna-11558	g10350.t1	mrna-4717	mrna-417
PAC4GC_38640128	EB41036.2	mrna-4153	g10356.t1	mrna-4718	mrna-425
PAC4GC_38638001	EB39858.1	mrna-4155	g10360.t1	mrna-4721	mrna-421
PAC4GC_38639398	EB40858.1	mrna-4156	g10361.t1	mrna-4722	mrna-418
PAC4GC_38637414	EB40215.1	mrna-4158	g10362.t1	mrna-4725	mrna-424
PAC4GC_38639454	EB40753.1	mrna-4247	g12132.t1	mrna-3019	mrna-173
PAC4GC_38639838	EB39771.1	mrna-4246	g12131.t1	mrna-3020	mrna-170
PAC4GC_38641665	EB40138.1	mrna-11580	g12127.t1	mrna-3022	mrna-168
PAC4GC_38638150	EB39688.1	mrna-11480	g11170.t1	mrna-118	mrna-272
PAC4GC_38639370	EB41135.1	mrna-11478	g11223.t1	mrna-121	mrna-270
PAC4GC_38640248	EB40251.1	mrna-11477	g11228.t1	mrna-122	mrna-269
PAC4GC_38637738	EB40382.1	mrna-11475	g12878.t1	mrna-124	mrna-265
PAC4GC_38640664	EB40408.1	mrna-11474	g12881.t2	mrna-125	mrna-257
PAC4GC_38640434	EB41171.1	mrna-11483	g10425.t1	mrna-133	mrna-250
PAC4GC_38640564	EB41145.1	mrna-11321	g10435.t1	mrna-139	mrna-248
PAC4GC_38641053	EB40954.7	mrna-11322	g10438.t1	mrna-140	mrna-247
PAC4GC_38640084	EB40935.3	mrna-11323	g10439.t1	mrna-141	mrna-246
PAC4GC_38640027	EB40762.1	mrna-4243	g10446.t1	mrna-142	mrna-245
PAC4GC_38637226	EB41136.1	mrna-4245	g10448.t1	mrna-147	mrna-339
PAC4GC_38638304	EB40812.1	mrna-4208	g10492.t1	mrna-14647	mrna-335
PAC4GC_38639310	EB40497.1	mrna-11569	g10497.t1	mrna-2373	mrna-334
PAC4GC_38638046	EB40970.1	mrna-11575	g13468.t1	mrna-4745	mrna-329
PAC4GC_38638109	EB40471.1	mrna-11574	g13471.t1	mrna-4746	mrna-330
PAC4GC_38641514	EB39804.1	mrna-4001	g13787.t1	mrna-2958	mrna-320
PAC4GC_38639618	EB40969.1	mrna-4002	g13788.t1	mrna-2959	mrna-319
PAC4GC_38637269	EB41155.1	mrna-4013	g13934.t1	mrna-2968	mrna-462
PAC4GC_38637961	EB40466.1	mrna-4275	g12233.t1	mrna-2990	mrna-103
PAC4GC_38638964	EB39661.1	mrna-4280	g12311.t1	mrna-2987	mrna-475
PAC4GC_38639366	EB40363.1	mrna-4279	g12313.t1	mrna-2985	mrna-474
PAC4GC_38641363	EB40452.1	mrna-4017	g13942.t1	mrna-2972	mrna-467
PAC4GC_38639816	EB40944.1	mrna-4016	g13940.t1	mrna-2971	mrna-466
PAC4GC_38641064	EB40247.1	mrna-4015	g13936.t1	mrna-2970	mrna-464
PAC4GC_38638400	EB39856.2	mrna-4014	g13935.t1	mrna-2969	mrna-463
PAC4GC_38641314	EB40540.1	mrna-3931	g10291.t1	mrna-4698	mrna-392
PAC4GC_38640033	EB40695.1	mrna-3930	g10290.t1	mrna-4697	mrna-393
PAC4GC_38640946	EB40843.1	mrna-3929	g10289.t1	mrna-4696	mrna-402
PAC4GC_38639746	EB40066.1	mrna-3928	g10288.t1	mrna-4695	mrna-400
PAC4GC_38640159	EB39959.1	mrna-3927	g10284.t1	mrna-4694	mrna-401
PAC4GC_38639111	EB40886.1	mrna-3926	g10283.t1	mrna-4693	mrna-399
PAC4GC_38638007	EB40108.1	mrna-3989	g10275.t1	mrna-4689	mrna-159
PAC4GC_38640707	EB40856.1	mrna-3994	g10244.t1	mrna-4678	mrna-141
PAC4GC_38641022	EB40714.1	mrna-3995	g10243.t1	mrna-4677	mrna-142
PAC4GC_38639271	EB40134.2	mrna-3996	g10231.t1	mrna-4676	mrna-143
PAC4GC_38638980	EB39890.1	mrna-3999	g10222.t1	mrna-4673	mrna-146
PAC4GC_38640879	EB41195.1	mrna-4000	g10217.t1	mrna-4672	mrna-147
PAC4GC_38639144	EB40689.1	mrna-4077	g10216.t1	mrna-4671	mrna-148
PAC4GC_38637521	EB39939.1	mrna-11561	g10214.t1	mrna-4670	mrna-149
PAC4GC_38639760	EB39723.1	mrna-11562	g10213.t1	mrna-4669	mrna-150
PAC4GC_38639246	EB40756.1	mrna-11563	g10212.t1	mrna-4668	mrna-151
PAC4GC_38637527	EB41086.2	mrna-11564	g10211.t1	mrna-4667	mrna-152
PAC4GC_38639141	EB41208.1	mrna-11565	g10210.t1	mrna-4666	mrna-140
PAC4GC_38639978	EB40015.1	mrna-11686	g10204.t1	mrna-4663	mrna-395
PAC4GC_38637928	EB39831.1	mrna-11687	g10203.t1	mrna-4662	mrna-396
PAC4GC_38638064	EB40410.1	mrna-11689	g10200.t1	mrna-4660	mrna-398
PAC4GC_38637533	EB40871.1	mrna-11690	g10176.t1	mrna-5075	mrna-391
PAC4GC_38640292	EB40467.1	mrna-11349	g10173.t1	mrna-5076	mrna-390
PAC4GC_38639779	EB40004.1	mrna-11352	g10146.t1	mrna-5078	mrna-387
PAC4GC_38637714	EB40260.1	mrna-11570	g10145.t1	mrna-5079	mrna-386
PAC4GC_38639971	EB40006.1	mrna-4029	g10144.t1	mrna-5080	mrna-3787
PAC4GC_38637340	EB40480.1	mrna-4206	g10131.t1	mrna-5082	mrna-385
PAC4GC_38641669	EB40517.1	mrna-4205	g10127.t1	mrna-5083	mrna-504
PAC4GC_38640575	EB40604.1	mrna-4204	g10126.t1	mrna-5084	mrna-506
PAC4GC_38640180	EB39699.1	mrna-11599	g10116.t1	mrna-5085	mrna-507
PAC4GC_38638659	EB40615.1	mrna-11467	g11726.t2	mrna-5793	mrna-13
PAC4GC_38639283	EB40290.1	mrna-11466	g11769.t1	mrna-5792	mrna-14
PAC4GC_38638797	EB45566.1	mrna-4347	g67444.t1	mrna-9594	mrna-7468
PAC4GC_38639857	EB45732.1	mrna-4345	g67447.t1	mrna-9596	mrna-7470
PAC4GC_38639560	EB40771.1	mrna-11464	g11827.t1	mrna-5791	mrna-15
PAC4GC_38640386	EB40818.1	mrna-4167	g10367.t1	mrna-4730	mrna-498
PAC4GC_38638591	EB40088.3	mrna-4166	g10368.t1	mrna-4731	mrna-499
PAC4GC_38639581	EB40720.1	mrna-3934	g10379.t1	mrna-4732	mrna-500
PAC4GC_38640878	EB40321.1	mrna-3935	g10380.t1	mrna-4733	mrna-501
PAC4GC_38639963	EB40550.1	mrna-11603	g10384.t1	mrna-4734	mrna-502
PAC4GC_38641466	EB41000.1	mrna-11374	g13533.t1	mrna-4775	mrna-190
PAC4GC_38638984	EB40683.2	mrna-11373	g13534.t1	mrna-4774	mrna-191
PAC4GC_38641218	EB40535.1	mrna-11372	g13535.t1	mrna-4773	mrna-192
PAC4GC_38638518	EB40400.1	mrna-11368	g13513.t1	mrna-4769	mrna-196
PAC4GC_38640855	EB39865.1	mrna-11367	g13512.t1	mrna-4768	mrna-197
PAC4GC_38637380	EB40236.1	mrna-11362	g13501.t1	mrna-4762	mrna-202
PAC4GC_38639650	EB40222.2	mrna-11360	g13499.t1	mrna-4761	mrna-204
PAC4GC_38640329	EB39973.1	mrna-11358	g13490.t1	mrna-4758	mrna-207
PAC4GC_38639790	EB40194.2	mrna-11662	g11326.t1	mrna-5568	mrna-7
PAC4GC_38638862	EB39729.2	mrna-11664	g11368.t1	mrna-12387	mrna-10
PAC4GC_38640958	EB40899.1	mrna-11660	g11376.t1	mrna-12393	mrna-510
PAC4GC_38638620	EB41154.1	mrna-11657	g11515.t1	mrna-12396	mrna-493
PAC4GC_38637397	EB40086.1	mrna-11387	g13745.t1	mrna-2953	mrna-325
PAC4GC_38639941	EB39846.1	mrna-11388	g13754.t1	mrna-2954	mrna-324
PAC4GC_38637699	EB41089.2	mrna-11309	g13768.t1	mrna-2955	mrna-323
PAC4GC_38638609	EB40289.1	mrna-11621	g13784.t1	mrna-2957	mrna-321
PAC4GC_38640228	EB40851.1	mrna-11336	g11725.t1	mrna-5795	mrna-12
PAC4GC_38641062	EB40668.1	mrna-3958	g12834.t1	mrna-199	mrna-133
PAC4GC_38639099	EB40330.1	mrna-3959	g12833.t1	mrna-198	mrna-132
PAC4GC_38638029	EB40602.1	mrna-3960	g12824.t1	mrna-197	mrna-131
PAC4GC_38637573	EB39668.1	mrna-3961	g12820.t1	mrna-196	mrna-130
PAC4GC_38641656	EB40063.2	mrna-3962	g12819.t1	mrna-195	mrna-129
PAC4GC_38640010	EB40655.1	mrna-3963	g12816.t1	mrna-194	mrna-128
PAC4GC_38639053	EB40827.1	mrna-3964	g12808.t1	mrna-193	mrna-127
PAC4GC_38639012	EB40460.1	mrna-3966	g12788.t1	mrna-191	mrna-125
PAC4GC_38639638	EB41214.1	mrna-3967	g12785.t1	mrna-190	mrna-124
PAC4GC_38641145	EB39778.1	mrna-3968	g12779.t1	mrna-189	mrna-123
PAC4GC_38640486	EB41115.1	mrna-3969	g12778.t1	mrna-188	mrna-122
PAC4GC_38640911	EB41029.1	mrna-3970	g12777.t1	mrna-187	mrna-121
PAC4GC_38640204	EB39954.1	mrna-3971	g12776.t1	mrna-186	mrna-120
PAC4GC_38639269	EB40234.1	mrna-3973	g12769.t1	mrna-185	mrna-118
PAC4GC_38637858	EB41092.1	mrna-3974	g12768.t1	mrna-184	mrna-117
PAC4GC_38638557	EB40293.1	mrna-3975	g12764.t1	mrna-183	mrna-243
PAC4GC_38637942	EB40364.1	mrna-3980	g11555.t2	mrna-173	mrna-226
PAC4GC_38637840	EB41084.1	mrna-3982	g11557.t1	mrna-172	mrna-224
PAC4GC_38638979	EB40555.2	mrna-3983	g11567.t1	mrna-171	mrna-223
PAC4GC_38638915	EB40841.1	mrna-11341	g11647.t1	mrna-5350	mrna-342
PAC4GC_38637576	EB40295.1	mrna-11339	g11642.t1	mrna-149	mrna-344
PAC4GC_38641182	EB40800.1	mrna-11338	g11641.t1	mrna-150	mrna-345
PAC4GC_38639133	EB41088.1	mrna-11337	g11638.t1	mrna-151	mrna-346
PAC4GC_38638489	EB14520.1	mrna-11316	g11634.t1	mrna-154	mrna-349
PAC4GC_38637358	EB40928.1	mrna-11317	g11633.t1	mrna-155	mrna-212
PAC4GC_38637581	EB40934.2	mrna-11683	g11624.t1	mrna-158	mrna-215
PAC4GC_38637484	EB39734.3	mrna-4177	g11601.t1	mrna-160	mrna-217
PAC4GC_38637634	EB40803.1	mrna-4179	g11574.t1	mrna-163	mrna-219
PAC4GC_38638927	EB39658.1	mrna-11609	g14076.t1	mrna-227	mrna-109
PAC4GC_38640242	EB39966.1	mrna-11610	g14075.t2	mrna-226	mrna-108
PAC4GC_38638954	EB40918.1	mrna-11601	g14069.t1	mrna-224	mrna-106
PAC4GC_38641276	EB39876.2	mrna-11602	g14067.t1	mrna-223	mrna-262
PAC4GC_38639917	EB40417.2	mrna-3939	g14050.t1	mrna-218	mrna-259
PAC4GC_38641004	EB40705.1	mrna-3940	g14043.t1	mrna-217	mrna-258
PAC4GC_38637894	EB41156.1	mrna-3941	g11366.t1	mrna-216	mrna-30
PAC4GC_38637974	EB40449.1	mrna-3944	g11231.t1	mrna-212	mrna-32
